,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
117,Mīrābād,30.44,61.84,67.42,24,0,18.12,AF,1602912273
118,Krasnokamensk,50.1,118.04,35.74,76,15,11.27,RU,1602912273
119,Iqaluit,63.75,-68.51,33.8,100,90,5.82,CA,1602912274
120,Atar,20.52,-13.05,85.06,26,6,6.82,MR,1602912274
121,Falāvarjān,32.56,51.51,50.0,18,0,4.7,IR,1602912274
122,Mataura,-46.19,168.86,57.99,61,79,1.01,NZ,1602912274
123,Vaini,-21.2,-175.2,73.4,100,90,11.41,TO,1602912275
124,Borovikha,53.51,83.84,55.4,35,69,17.9,RU,1602912275
125,Micheweni,-4.97,39.83,79.84,76,27,10.25,TZ,1602912275
126,Owando,-0.48,15.9,69.76,98,57,2.59,CG,1602912276
127,Havøysund,71.0,24.66,32.0,78,40,19.46,NO,1602912276
128,Bluff,-46.6,168.33,57.99,61,50,1.01,NZ,1602912276
129,Panguna,-6.32,155.48,79.02,76,35,0.87,PG,1602912277
130,Kantang,7.41,99.52,77.0,100,75,4.7,TH,1602912277
131,Chiredzi,-21.05,31.67,70.34,69,15,7.61,ZW,1602912277
132,Ouadda,8.08,22.4,69.84,83,92,1.01,CF,1602912278
133,Erzin,36.96,36.2,71.01,78,1,0.92,TR,1602912279
134,Cayenne,4.93,-52.33,73.4,100,64,9.24,GF,1602912279
135,Wagga Wagga,-35.12,147.37,66.2,88,100,5.82,AU,1602912279
136,Cartagena,10.4,-75.51,81.55,86,42,13.73,CO,1602912280
137,Jumla,29.27,82.18,71.22,22,35,5.28,NP,1602912280
138,Letlhakane,-21.42,25.58,71.87,38,64,13.82,BW,1602912280
139,Kamenka,51.32,42.77,45.0,92,27,8.25,RU,1602912281
140,Horsham,51.06,-0.33,48.99,100,75,4.7,GB,1602912281
141,Kelso,46.15,-122.91,57.99,93,90,4.7,US,1602912281
142,Nikolskoye,59.7,30.79,33.01,83,84,2.24,RU,1602912282
143,Santa Maria,-29.68,-53.81,57.04,88,0,7.14,BR,1602912042
144,Körfez,40.78,29.73,68.0,100,54,2.24,TR,1602912283
145,Tateyama,34.98,139.87,57.2,93,75,23.04,JP,1602912283
146,Khuzdar,27.74,66.64,73.6,16,2,2.89,PK,1602912283
147,Kapaa,22.08,-159.32,80.6,78,20,12.75,US,1602912284
148,Hofn,64.25,-15.21,42.17,85,100,10.02,IS,1602912284
149,Fort Nelson,58.81,-122.7,15.8,78,20,6.93,CA,1602912284
150,Port Hardy,50.7,-127.42,48.2,87,5,10.29,CA,1602912285
151,Culpeper,38.5,-77.97,46.99,93,1,4.7,US,1602912285
152,Aklavik,68.22,-135.01,6.8,77,5,4.7,CA,1602912285
153,Sri Aman,1.24,111.46,91.4,63,40,4.7,MY,1602912285
154,Saint George,37.1,-113.58,64.99,13,1,3.36,US,1602912286
155,Carauari,-4.88,-66.9,73.02,97,58,1.97,BR,1602912286
156,Araouane,18.9,-3.53,86.32,15,0,11.41,ML,1602912286
157,Georgiyevka,43.04,74.71,57.2,35,0,4.47,KZ,1602912287
158,San Antonio,29.42,-98.49,66.2,52,90,8.05,US,1602912107
159,La Tuque,47.43,-72.78,37.2,92,98,1.77,CA,1602912287
160,São João da Barra,-21.64,-41.05,68.23,83,100,10.42,BR,1602912287
161,Whitehorse,60.72,-135.05,17.01,52,90,16.11,CA,1602912004
162,Yangi Marg`ilon,40.43,71.72,64.4,39,7,2.24,UZ,1602912288
163,Cockburn Town,21.46,-71.14,83.73,79,68,18.63,TC,1602912289
164,Chokurdakh,70.63,147.92,27.68,98,100,5.7,RU,1602912289
165,Keokuk,40.4,-91.38,42.8,58,40,4.7,US,1602912289
166,Sitka,57.05,-135.33,44.6,70,20,8.05,US,1602912289
167,Umluj,25.02,37.27,88.45,33,0,4.76,SA,1602912290
168,La Ronge,55.1,-105.28,24.8,68,90,14.99,CA,1602912290
169,Diego de Almagro,-26.37,-70.05,57.13,35,0,1.03,CL,1602912290
170,Zliten,32.47,14.57,72.05,67,100,12.82,LY,1602912290
171,Mount Isa,-20.73,139.5,98.6,13,0,6.93,AU,1602912291
172,Barrow,71.29,-156.79,17.6,72,1,20.8,US,1602912291
173,Pargas,60.31,22.3,46.99,93,75,1.12,FI,1602912291
174,Lorengau,-2.02,147.27,83.71,77,97,7.52,PG,1602912292
175,Isangel,-19.55,169.27,78.8,83,75,9.17,VU,1602912292
176,Adrar,20.5,-10.07,83.26,19,0,9.33,MR,1602912292
177,Muisne,0.6,-80.03,74.82,87,81,7.2,EC,1602912293
178,Novy Urengoy,66.08,76.63,30.54,99,100,13.85,RU,1602912293
179,Acapulco de Juárez,16.86,-99.89,80.28,77,91,3.02,MX,1602912262
180,Ndélé,8.41,20.65,71.26,87,77,2.44,CF,1602912294
181,Bosanci,47.58,26.32,50.0,93,90,8.05,RO,1602912294
182,Moussoro,13.64,16.49,82.74,29,41,0.38,TD,1602912294
183,Buncrana,55.13,-7.45,41.74,89,8,3.74,IE,1602912295
184,Richards Bay,-28.78,32.04,69.69,76,12,9.6,ZA,1602912295
185,Port Macquarie,-31.43,152.92,82.0,51,90,1.99,AU,1602912060
186,Tomatlán,19.93,-105.25,77.32,93,32,3.04,MX,1602912296
187,Mahibadhoo,3.78,72.97,82.04,77,27,13.51,MV,1602912296
188,Lata,40.16,-8.33,52.0,92,100,1.41,PT,1602912297
189,Khorramshahr,30.44,48.17,78.8,41,0,6.93,IR,1602912297
190,Northam,51.03,-4.22,48.99,88,2,3.0,GB,1602912297
191,Lubango,-14.92,13.49,64.15,74,100,2.24,AO,1602912297
192,Bayevo,53.28,80.77,53.46,43,100,16.42,RU,1602912298
193,Khani,41.96,42.96,55.4,93,0,2.24,GE,1602912298
194,Nouadhibou,20.93,-17.03,75.2,60,0,16.11,MR,1602912299
195,Nanortalik,60.14,-45.24,40.17,78,100,10.45,GL,1602912299
196,Zhuhai,22.28,113.57,80.6,69,40,19.46,CN,1602912299
197,Asău,46.43,26.4,50.0,98,100,2.35,RO,1602912300
198,Dunedin,-45.87,170.5,48.0,70,65,28.01,NZ,1602912053
199,Yulara,-25.24,130.99,98.6,11,52,12.75,AU,1602912300
200,Zavetnoye,47.12,43.89,65.64,52,0,2.86,RU,1602912301
201,Sabha,27.04,14.43,74.91,20,6,13.71,LY,1602912301
202,Novo Aripuanã,-5.12,-60.38,75.07,87,41,1.92,BR,1602912301
203,Havelock,34.88,-76.9,57.99,88,90,10.27,US,1602912302
204,Wawina,15.42,-84.43,72.9,94,100,2.46,HN,1602912302
205,Warmbad,-28.45,18.73,70.54,23,0,3.24,NA,1602912302
206,Tiksi,71.69,128.87,26.04,98,100,8.23,RU,1602912303
207,Cap Malheureux,-19.98,57.61,80.01,61,1,8.99,MU,1602912304
208,Mandalgovi,45.76,106.27,45.63,51,73,10.89,MN,1602912304
209,Salym,60.06,71.48,34.12,86,53,8.7,RU,1602912304
210,Stege,54.99,12.28,45.0,95,23,14.14,DK,1602912305
211,Zyryanka,65.75,150.85,29.53,99,100,8.43,RU,1602912305
212,Chui,-33.7,-53.46,55.36,95,0,8.77,UY,1602912305
213,Makkaveyevo,51.75,113.95,37.4,34,40,13.42,RU,1602912306
214,Marawi,8.0,124.29,82.99,80,62,5.01,PH,1602912306
215,Coos Bay,43.37,-124.22,57.2,100,90,5.82,US,1602912167
216,Ust'-Omchug,61.15,149.63,23.29,82,57,4.9,RU,1602912307
217,Saskylakh,71.92,114.08,8.15,94,96,5.35,RU,1602912307
218,Orotina,9.91,-84.52,71.6,78,48,12.75,CR,1602912308
219,Chaumont,48.12,5.13,46.0,93,81,4.61,FR,1602912308
220,Esperance,-33.87,121.9,64.4,59,29,13.87,AU,1602912308
221,Sinnamary,5.38,-52.95,77.59,84,23,9.84,GF,1602912308
222,Ugoofaaru,5.67,73.0,82.2,76,64,10.71,MV,1602912309
223,Mildura,-34.2,142.15,62.6,72,90,11.41,AU,1602912178
224,Zhireken,52.82,117.31,29.21,72,49,11.3,RU,1602912309
225,Clarence Town,-32.58,151.78,87.01,61,72,10.29,AU,1602912310
226,Ucluelet,48.93,-125.55,54.0,92,98,2.82,CA,1602912099
227,San Fernando del Valle de Catamarca,-28.47,-65.79,75.0,57,1,7.0,AR,1602912246
228,Lākheri,25.67,76.17,87.8,55,75,1.12,IN,1602912311
229,Safi,32.3,-9.24,60.31,76,2,6.31,MA,1602912311
230,Kununurra,-15.77,128.73,98.6,30,0,12.75,AU,1602912257
231,Ures,29.43,-110.4,81.0,50,37,1.01,MX,1602912312
232,Matonga,-2.38,34.08,73.72,49,27,5.37,TZ,1602912313
233,Røros,62.57,11.38,28.4,100,94,6.93,NO,1602912313
234,Kachug,53.96,105.88,34.23,76,95,7.23,RU,1602912313
235,Calvinia,-31.47,19.78,53.6,34,0,3.36,ZA,1602912314
236,Muzhi,65.37,64.67,29.28,98,100,15.32,RU,1602912314
237,Te Anau,-45.42,167.72,51.31,71,64,1.79,NZ,1602912315
238,Port Elizabeth,-33.92,25.57,60.8,93,80,2.24,ZA,1602912315
239,Iraquara,-12.25,-41.62,66.42,83,28,7.47,BR,1602912316
240,Ciudad Bolivar,8.12,-63.55,78.66,79,64,8.81,VE,1602912316
241,Cairns,-16.92,145.77,84.2,48,2,14.99,AU,1602912169
242,Faanui,-16.48,-151.75,79.59,80,22,7.72,PF,1602912316
243,Careiro da Várzea,-3.2,-59.81,80.6,83,9,2.24,BR,1602912317
244,Ondangwa,-17.92,15.95,73.4,26,51,4.7,NA,1602912318
245,Manicoré,-5.81,-61.3,74.08,93,100,2.24,BR,1602912318
246,Touros,-5.2,-35.46,73.4,88,20,4.7,BR,1602912318
247,Pangnirtung,66.15,-65.71,37.29,84,100,3.56,CA,1602912319
248,Carndonagh,55.25,-7.27,42.89,90,8,4.16,IE,1602912319
249,Ghanzi,-21.57,21.78,69.62,27,66,10.89,BW,1602912319
250,Rapid Valley,44.06,-103.15,48.99,81,90,11.41,US,1602912320
251,Sakakah,29.97,40.21,69.8,24,0,3.62,SA,1602912320
252,Ransang,8.96,117.58,83.1,73,100,5.66,PH,1602912320
253,Ahipara,-35.17,173.17,57.56,57,26,6.02,NZ,1602912321
254,Kostomuksha,64.57,30.58,33.51,94,100,9.35,RU,1602912321
255,Tuatapere,-46.13,167.68,57.99,61,62,1.01,NZ,1602912322
256,Dehlorān,32.69,47.27,83.07,14,0,1.92,IR,1602912322
257,Bahawalpur,29.4,71.68,93.79,10,0,6.76,PK,1602912322
258,Pilikwe,-22.8,27.19,66.74,69,0,11.99,BW,1602912322
259,Kannapolis,35.49,-80.62,54.0,71,75,8.05,US,1602912323
260,Biak,-0.91,122.88,76.59,84,100,4.56,ID,1602912323
261,Aberdeen,57.14,-2.1,44.6,93,90,11.41,GB,1602912323
262,Kyabé,9.45,18.94,72.03,93,34,3.18,TD,1602912324
263,Sisimiut,66.94,-53.67,41.0,86,100,27.29,GL,1602912324
264,Ulaangom,49.98,92.07,44.71,58,8,0.47,MN,1602912325
265,Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,68,75,8.95,RU,1602912304
266,Ostrovnoy,68.05,39.51,32.04,94,78,11.23,RU,1602912325
267,Bonthe,7.53,-12.51,77.02,84,74,1.28,SL,1602912325
268,Weyburn,49.67,-103.85,30.0,87,100,5.99,CA,1602912326
269,Camacha,33.08,-16.33,62.6,77,20,2.24,PT,1602912326
270,Rockport,28.02,-97.05,64.99,93,90,10.29,US,1602912326
271,Halifax,44.65,-63.57,50.0,98,72,6.04,CA,1602912128
272,Chapais,49.78,-74.85,28.4,100,1,2.24,CA,1602912327
273,Bada,51.39,109.87,34.65,73,68,12.24,RU,1602912327
274,Passo Fundo,-28.26,-52.41,55.89,77,2,13.62,BR,1602912327
275,Salinópolis,-0.61,-47.36,78.94,83,21,9.62,BR,1602912328
276,Zhuanghe,39.7,122.99,67.1,35,0,16.17,CN,1602912328
277,Chernukha,55.6,43.76,33.96,91,0,6.22,RU,1602912329
278,Achit,56.8,57.9,33.87,93,100,15.64,RU,1602912329
279,Mossamedes,-15.2,12.15,70.99,67,93,2.84,AO,1602912329
280,Gravdal,68.12,13.5,42.03,72,100,16.51,NO,1602912330
281,Kampot,10.62,104.18,82.4,88,75,8.05,KH,1602912330
282,Sechura,-5.56,-80.82,65.26,80,55,7.43,PE,1602912330
283,Muros,42.78,-9.06,53.01,89,100,5.01,ES,1602912330
284,Fougamou,-1.22,10.58,73.4,92,100,0.87,GA,1602912331
285,Karratha,-20.74,116.85,85.62,34,0,20.65,AU,1602912032
286,Sirajganj,24.45,89.72,86.72,69,0,8.32,BD,1602912331
287,Laguna,38.42,-121.42,69.01,52,1,2.68,US,1602912331
288,Kāvali,14.92,79.98,88.66,57,46,5.7,IN,1602912332
289,Nioro,13.35,-15.75,76.21,90,90,4.47,GM,1602912332
290,Butembo,0.15,29.28,60.31,96,79,2.17,CD,1602912332
291,Antalaha,-14.9,50.28,76.93,63,1,6.69,MG,1602912333
292,Mata,40.68,-7.46,44.01,88,100,1.83,PT,1602912333
293,Coahuayana Viejo,18.73,-103.68,79.54,89,100,1.92,MX,1602912333
294,Naukot,24.86,69.4,97.81,22,45,12.97,PK,1602912334
295,Hasaki,35.73,140.83,54.0,100,75,10.29,JP,1602912334
296,Abu Dhabi,24.47,54.37,84.2,35,0,3.36,AE,1602912197
297,Dakar,14.69,-17.44,78.8,94,20,5.82,SN,1602912161
298,Merauke,-8.47,140.33,83.95,64,48,18.3,ID,1602912305
299,Bethanien,-26.5,17.16,70.45,21,0,0.67,NA,1602912335
300,Ponta do Sol,32.67,-17.1,64.4,77,20,5.82,PT,1602912336
301,Broome,42.25,-75.83,37.99,100,90,8.05,US,1602912117
302,Sioux Lookout,50.1,-91.92,28.4,74,90,3.36,CA,1602912336
303,Buy,58.48,41.53,32.25,96,3,5.77,RU,1602912337
304,Centralia,46.72,-122.95,59.0,100,100,4.68,US,1602912337
305,Yanta,36.24,115.67,71.92,22,0,10.09,CN,1602912337
306,Kruisfontein,-34.0,24.73,65.91,62,84,7.56,ZA,1602912338
307,Homer,59.64,-151.55,41.0,64,1,5.82,US,1602912338
308,Amahai,-3.33,128.92,83.19,74,48,7.27,ID,1602912338
309,Eatonton,33.33,-83.39,53.01,74,0,5.41,US,1602912339
310,Kovūr,14.48,79.98,90.14,54,51,6.67,IN,1602912339
311,Toamasina,-18.17,49.38,80.6,69,40,4.7,MG,1602912339
312,Wiwilí,13.63,-85.83,71.22,88,99,2.64,NI,1602912340
313,Cascavel,-24.96,-53.46,60.67,85,37,9.6,BR,1602912340
314,Utamysh,42.41,47.75,62.6,72,20,4.47,RU,1602912340
315,Cândido Mendes,-1.45,-45.72,75.43,91,23,4.27,BR,1602912341
316,Bijie,27.31,105.29,47.17,89,100,1.41,CN,1602912341
317,Bowen,-20.02,148.23,82.4,39,0,12.75,AU,1602912225
318,Harstad,68.8,16.53,39.2,93,100,9.17,NO,1602912342
319,Yar-Sale,66.83,70.83,30.25,98,100,25.84,RU,1602912342
320,Potchefstroom,-26.72,27.1,69.87,47,0,18.14,ZA,1602912170
321,Walvis Bay,-22.96,14.51,57.0,93,38,3.36,NA,1602912343
322,Serebryanyy Bor,56.8,124.8,20.82,91,100,12.33,RU,1602912343
323,Mariehamn,60.1,19.93,44.6,70,75,3.36,AX,1602912343
324,Berdigestyakh,62.1,126.7,22.78,91,100,10.16,RU,1602912344
325,Khovd,48.01,91.64,44.08,50,0,3.44,MN,1602912295
326,Rio Claro,-22.41,-47.56,64.0,68,75,7.36,BR,1602912344
327,Krasnosel'kup,65.7,82.47,32.41,98,100,17.85,RU,1602912344
328,Flinders,-34.58,150.86,75.0,72,100,5.01,AU,1602912345
329,Spring Hill,28.48,-82.53,73.0,94,1,4.7,US,1602912049
330,Ixtlahuacán del Río,20.87,-103.25,66.2,55,40,4.7,MX,1602912345
331,Ferrol,43.48,-8.24,55.99,76,100,14.99,ES,1602912346
332,Grand-Santi,4.25,-54.38,71.04,87,7,3.02,GF,1602912346
333,Rabo de Peixe,37.8,-25.58,62.6,72,20,4.7,PT,1602912346
334,Ilulissat,69.22,-51.1,48.2,61,100,14.99,GL,1602912347
335,Hong Kong,22.29,114.16,82.99,62,47,10.0,HK,1602912347
336,Kostanay,53.17,63.58,55.4,42,88,17.9,KZ,1602912347
337,Progreso,21.28,-89.67,77.0,88,5,4.7,MX,1602912348
338,Korla,41.76,86.15,59.72,31,0,3.56,CN,1602912348
339,Kochubey,44.39,46.58,62.06,74,0,1.79,RU,1602912348
340,Gornopravdinsk,60.05,69.9,33.84,87,59,7.34,RU,1602912349
341,Zambezi,-13.54,23.1,69.82,46,0,9.24,ZM,1602912349
342,Vostok,46.49,135.88,42.48,62,6,9.53,RU,1602912350
343,La Macarena,2.18,-73.78,70.88,97,36,2.19,CO,1602912350
344,Salekhard,66.53,66.6,29.08,98,100,19.84,RU,1602912350
345,Sabang,5.89,95.32,84.02,71,84,22.19,ID,1602912351
346,Ruidoso,33.33,-105.67,48.2,42,1,9.17,US,1602912351
347,Port Lincoln,-34.73,135.87,56.68,63,98,12.44,AU,1602912351
348,Khedbrahma,24.03,73.05,88.9,55,84,11.41,IN,1602912352
349,Puri,19.8,85.85,86.0,84,40,4.7,IN,1602912352
350,Palencia,42.42,-4.5,35.01,83,100,1.81,ES,1602912352
351,Lavrentiya,65.58,-171.0,38.75,93,100,8.68,RU,1602912353
352,Jalu,29.03,21.55,75.61,34,0,13.35,LY,1602912353
353,Labuhan,-6.88,112.21,89.6,50,86,7.49,ID,1602912353
354,Narsaq,60.92,-46.05,37.4,79,100,4.7,GL,1602912354
355,Sémbé,1.65,14.58,69.19,95,100,2.08,CG,1602912354
356,Verkhnyaya Inta,65.98,60.31,27.66,98,100,13.04,RU,1602912355
357,Nome,64.5,-165.41,39.2,86,90,27.51,US,1602912355
358,Lüderitz,-26.65,15.16,67.91,35,1,13.6,NA,1602912356
359,Maraã,-1.83,-65.37,73.47,89,30,1.7,BR,1602912356
360,Emba,48.83,58.14,57.18,36,40,14.94,KZ,1602912356
361,Bilibino,68.05,166.44,28.74,97,100,3.76,RU,1602912356
362,Sheffield,53.38,-1.47,46.99,94,89,5.88,GB,1602912357
363,Flin Flon,54.77,-101.86,23.11,92,39,8.88,CA,1602912357
364,Avera,33.19,-82.53,53.6,87,1,8.05,US,1602912358
365,Nouakchott,18.09,-15.98,82.4,42,13,13.87,MR,1602912256
366,Rocha,-34.48,-54.33,51.58,96,2,7.87,UY,1602912358
367,Mehamn,71.04,27.85,35.55,80,100,10.83,NO,1602912358
368,Pringsewu,-5.36,104.97,88.0,61,35,7.38,ID,1602912359
369,Samaná,19.21,-69.34,77.79,87,74,4.45,DO,1602912130
370,Pāsighāt,28.07,95.33,89.35,49,0,3.89,IN,1602912359
371,Río Gallegos,-51.62,-69.22,44.6,70,75,5.82,AR,1602912086
372,Ixtapa,20.7,-105.2,84.2,83,40,2.24,MX,1602912360
